"Index","MSFT.Adjusted"
"2023-10-06","2023-10-06",326.597137451172
"2023-10-09","2023-10-09",329.151947021484
"2023-10-10","2023-10-10",327.724853515625
"2023-10-11","2023-10-11",331.746673583984
"2023-10-12","2023-10-12",330.489227294922
"2023-10-13","2023-10-13",327.066192626953
"2023-10-16","2023-10-16",331.966247558594
"2023-10-17","2023-10-17",331.387390136719
"2023-10-18","2023-10-18",329.441345214844
"2023-10-19","2023-10-19",330.648895263672
"2023-10-20","2023-10-20",326.008331298828
"2023-10-23","2023-10-23",328.652954101562
"2023-10-24","2023-10-24",329.860504150391
"2023-10-25","2023-10-25",339.97998046875
"2023-10-26","2023-10-26",327.225860595703
"2023-10-27","2023-10-27",329.141967773438
"2023-10-30","2023-10-30",336.626770019531
"2023-10-31","2023-10-31",337.425140380859
"2023-11-01","2023-11-01",345.369018554688
"2023-11-02","2023-11-02",347.614471435547
"2023-11-03","2023-11-03",352.085388183594
"2023-11-06","2023-11-06",355.807830810547
"2023-11-07","2023-11-07",359.799743652344
"2023-11-08","2023-11-08",362.464324951172
"2023-11-09","2023-11-09",359.959411621094
"2023-11-10","2023-11-10",368.921234130859
"2023-11-13","2023-11-13",365.937255859375
"2023-11-14","2023-11-14",369.519989013672
"2023-11-15","2023-11-15",369.670013427734
"2023-11-16","2023-11-16",376.170013427734
"2023-11-17","2023-11-17",369.850006103516
"2023-11-20","2023-11-20",377.440002441406
"2023-11-21","2023-11-21",373.070007324219
"2023-11-22","2023-11-22",377.850006103516
"2023-11-24","2023-11-24",377.429992675781
"2023-11-27","2023-11-27",378.609985351562
"2023-11-28","2023-11-28",382.700012207031
"2023-11-29","2023-11-29",378.850006103516
"2023-11-30","2023-11-30",378.910003662109
